url	date	scan_id	title	company	status
https://jobs.lever.co/immiland-canada-inc/25e544d7-5748-494c-b5da-9e3436d15510	2026-07-09	daily-scan-2026-07-09	Demand and Logistic Planner / Supply Chain Manager	Immiland Canada Inc.	added
https://jobs.lever.co/minesense/8371e30d-fcfd-4b9d-98e3-b3ef6da0c525	2026-07-09	daily-scan-2026-07-09	Manager - Procurement	MineSense	added
https://jobs.lever.co/arcteryx.com/f7c008b2-bb92-4f13-b7c9-b5acc8ff48c8	2026-07-09	daily-scan-2026-07-09	Demand Planner	ARC'TERYX	added
https://jobs.interiorhealth.ca/ViewJobPosting/2367424	2026-07-09	daily-scan-2026-07-09	Specialist - Business Analyst	Interior Health	added
https://jobs.interiorhealth.ca/job/kelowna/business-systems-analyst/602/16671489296	2026-07-09	daily-scan-2026-07-09	Business Systems Analyst	Interior Health	added
https://jobs.interiorhealth.ca/job/kelowna/consultant-data-analytics/602/28489213600	2026-07-09	daily-scan-2026-07-09	Consultant Data Analytics	Interior Health	added
https://www.civicjobs.ca/jobs?id=114017	2026-07-09	daily-scan-2026-07-09	Senior Buyer	Township of Langley	added
https://www.jobbank.gc.ca/jobsearch/jobposting/49776715	2026-07-09	daily-scan-2026-07-09	Planner	Unknown (Delta BC)	added
https://www.roberthalf.com/ca/en/job/vancouver-bc/supply-chain-specialist/05060-0013443037-caen	2026-07-09	daily-scan-2026-07-09	Supply Chain Specialist	Robert Half	added
https://job-boards.greenhouse.io/oklo/jobs/6093154004	2026-07-09	daily-scan-2026-07-09	Manager Supply Chain Systems Transformation	Oklo	skipped_location
https://job-boards.greenhouse.io/veratherapeuticsinc/jobs/4303546009	2026-07-09	daily-scan-2026-07-09	Sr Manager Manufacturing Planning and Scheduling	Vera Therapeutics	skipped_location
https://job-boards.greenhouse.io/purestorage/jobs/7841132	2026-07-09	daily-scan-2026-07-09	Supply Chain Manager	Everpure/PureStorage	skipped_location
https://job-boards.greenhouse.io/togetherai/jobs/5056204007	2026-07-09	daily-scan-2026-07-09	Staff Strategic Sourcing Manager	Together AI	skipped_location
https://job-boards.greenhouse.io/nutrafol/jobs/4684337005	2026-07-09	daily-scan-2026-07-09	Supply Planning Manager	Nutrafol	skipped_location
https://job-boards.greenhouse.io/fourkites/jobs/7984869	2026-07-09	daily-scan-2026-07-09	Product Manager Inventory and Orders	FourKites	skipped_location
https://job-boards.greenhouse.io/oklo/jobs/6093153004	2026-07-09	daily-scan-2026-07-09	Contracts and Procurement Specialist	Oklo	skipped_location
https://job-boards.greenhouse.io/kyowakirinusa90/jobs/7728440003	2026-07-09	daily-scan-2026-07-09	Sr Manager Supply Chain	Kyowa Kirin	skipped_location
https://job-boards.greenhouse.io/sustainabletalent/jobs/4663526005	2026-07-09	daily-scan-2026-07-09	Senior Supply Chain Planner Semiconductor	Sustainable Talent	skipped_location
https://job-boards.greenhouse.io/engine/jobs/7770843003	2026-07-09	daily-scan-2026-07-09	Director Business Operations	Engine	skipped_location
https://jobs.lever.co/zoox/cb334597-ba6b-4d39-ba50-035c3a359c8e	2026-07-09	daily-scan-2026-07-09	Logistics and Operations Planning Manager S&OP	Zoox	skipped_location
https://jobs.lever.co/cellares/23a34380-1a4e-4bff-b760-9f83a88846a8	2026-07-09	daily-scan-2026-07-09	Senior Director Supply Chain	Cellares	skipped_location
https://jobs.lever.co/zoox/3aa4a45e-36c7-4502-adbf-f33de11e23e0	2026-07-09	daily-scan-2026-07-09	Senior Supply and Demand Planning Manager	Zoox	skipped_location
